"Na","Mg","Al","Si","K","Ca","Ba","Fe"
11.95,0,1.19,75.18,2.7,8.93,0,0
13.33,3.53,1.34,72.67,0.56,8.33,0,0
14.32,3.9,0.83,71.5,0,9.49,0,0
12.86,3.58,1.31,72.61,0.61,8.79,0,0
12.87,3.48,1.33,73.04,0.56,8.43,0,0
14.15,0,2.09,72.74,0,10.88,0,0
13.43,2.87,1.19,72.84,0.55,9.03,0,0
13.2,3.33,1.28,72.36,0.6,9.14,0,0.11
13.89,3.6,1.36,72.73,0.48,7.83,0,0
12.94,3.61,1.26,72.75,0.56,8.6,0,0
12.99,3.18,1.23,72.97,0.58,8.81,0,0.24
14.92,0,1.99,73.06,0,8.4,1.59,0
14.95,0,2.27,73.3,0,8.71,0.67,0
13.73,3.84,0.72,71.76,0.17,9.74,0,0
12.56,3.52,1.43,73.15,0.57,8.54,0,0
13.49,3.48,1.35,71.95,0.55,9,0,0
13.31,3.58,0.82,71.99,0.12,10.17,0,0.03
13.02,3.56,1.54,73.11,0.72,7.9,0,0
13.48,3.74,0.9,72.01,0.18,9.61,0,0.07
12.65,3.56,1.3,73.08,0.61,8.69,0,0.14
13.19,3.37,1.18,72.72,0.57,8.83,0,0.16
13.24,3.34,1.47,73.1,0.39,8.22,0,0
13.98,1.35,1.63,71.76,0.39,10.56,0,0.18
12.87,3.48,1.29,72.95,0.6,8.43,0,0
13.69,3.59,1.12,71.96,0.09,9.4,0,0
14.46,2.24,1.62,72.38,0,9.26,0,0
13.41,3.89,1.33,72.38,0.51,8.28,0,0
12.89,3.62,1.57,72.96,0.61,8.11,0,0
13.38,3.5,1.15,72.85,0.5,8.43,0,0
11.02,0,0.75,73.08,0,14.96,0,0
14.85,0,2.38,73.28,0,8.76,0.64,0.09
13.48,3.74,1.17,72.99,0.59,8.03,0,0
13.58,3.35,1.23,72.08,0.59,8.91,0,0
13.14,2.84,1.28,72.85,0.55,9.07,0,0
13.44,3.61,1.54,72.39,0.66,8.03,0,0
14.01,2.68,3.5,69.89,1.68,5.87,2.2,0
12.78,3.62,1.29,72.79,0.59,8.7,0,0
13.36,3.58,1.49,72.72,0.45,8.21,0,0
13.19,3.9,1.3,72.33,0.55,8.44,0,0.28
12.93,3.74,1.11,72.28,0.64,8.96,0,0.22
13.53,3.41,1.52,72.04,0.58,8.79,0,0
13.02,0,3.04,70.48,6.21,6.96,0,0
13.88,1.78,1.79,73.1,0,8.67,0.76,0
13.24,3.9,1.41,72.33,0.55,8.31,0,0.1
14.23,0,2.08,73.36,0,8.62,1.67,0
12.74,3.48,1.35,72.96,0.64,8.68,0,0
13.04,3.4,1.26,73.01,0.52,8.58,0,0
13.2,3.63,1.07,72.83,0.57,8.41,0.09,0.17
13.72,3.72,0.51,71.75,0.09,10.06,0,0.16
13.44,3.34,1.23,72.38,0.6,8.83,0,0
